advertise,sales,plays,attractiveness,attractiveness
10.256,330,43,10,C10
985.685,120,28,7,C7
1445.563,360,35,7,C7
1188.193,270,33,7,C7
574.513,220,44,5,C5
568.954,170,19,5,C5
471.814,70,20,1,C1
537.352,210,22,9,C9
514.068,200,21,7,C7
174.093,300,40,7,C7
1720.806,290,32,7,C7
611.479,70,20,2,C2
251.192,150,24,8,C8
97.972,190,38,6,C6
406.814,240,24,7,C7
265.398,100,25,5,C5
1323.287,250,35,5,C5
196.65,210,36,8,C8
1326.598,280,27,8,C8
1380.689,230,33,8,C8
792.345,210,33,7,C7
957.167,230,28,6,C6
1789.659,320,30,9,C9
656.137,210,34,7,C7
613.697,230,49,7,C7
313.362,250,40,8,C8
336.51,60,20,4,C4
1544.899,330,42,7,C7
68.954,150,35,8,C8
785.692,150,8,6,C6
125.628,180,49,7,C7
377.925,80,19,8,C8
217.994,180,42,6,C6
759.862,130,6,7,C7
1163.444,320,36,6,C6
842.957,280,32,7,C7
125.179,200,28,6,C6
236.598,130,25,8,C8
669.811,190,34,8,C8
612.234,150,21,6,C6
922.019,230,34,7,C7
50,310,63,7,C7
2000,340,31,7,C7
1054.027,240,25,7,C7
385.045,180,42,7,C7
1507.972,220,37,7,C7
102.568,40,25,8,C8
204.568,190,26,7,C7
1170.918,290,39,7,C7
689.547,340,46,7,C7
784.22,250,36,6,C6
405.913,190,12,4,C4
179.778,120,2,8,C8
607.258,230,29,8,C8
1542.329,190,33,8,C8
1112.47,210,28,7,C7
856.985,170,10,6,C6
836.331,310,38,7,C7
236.908,90,19,4,C4
1077.855,140,13,6,C6
579.321,300,30,7,C7
1500,340,38,8,C8
731.364,170,22,8,C8
25.689,100,23,6,C6
391.749,200,22,9,C9
233.999,80,20,7,C7
275.7,100,18,6,C6
56.895,70,37,7,C7
255.117,50,16,8,C8
566.501,240,32,8,C8
102.568,160,26,5,C5
250.568,290,53,9,C9
68.594,140,28,7,C7
642.786,210,32,7,C7
1500,300,24,7,C7
102.563,230,37,6,C6
756.984,280,30,8,C8
51.229,160,19,7,C7
644.151,200,47,6,C6
15.313,110,22,5,C5
243.237,110,10,8,C8
256.894,70,1,4,C4
22.464,100,1,6,C6
45.689,190,39,6,C6
724.938,70,8,5,C5
1126.461,360,38,7,C7
1985.119,360,35,5,C5
1837.516,300,40,5,C5
135.986,120,22,7,C7
237.703,150,27,8,C8
976.641,220,31,6,C6
1452.689,280,19,7,C7
1600,300,24,9,C9
268.598,140,1,7,C7
900.889,290,38,8,C8
982.063,180,26,6,C6
201.356,140,11,6,C6
746.024,210,34,6,C6
1132.877,250,55,7,C7
1000,250,5,7,C7
75.896,120,34,6,C6
1351.254,290,37,9,C9
202.705,60,13,8,C8
365.985,140,23,6,C6
305.268,290,54,6,C6
263.268,160,18,7,C7
513.694,100,2,7,C7
152.609,160,11,6,C6
35.987,150,30,8,C8
102.568,140,22,7,C7
215.368,230,36,6,C6
426.784,230,37,8,C8
507.772,30,9,3,C3
233.291,80,2,7,C7
1035.433,190,12,8,C8
102.642,90,5,9,C9
526.142,120,14,7,C7
624.538,150,20,5,C5
912.349,230,57,6,C6
215.994,150,19,8,C8
561.963,210,35,7,C7
474.76,180,22,5,C5
231.523,140,16,7,C7
678.596,360,53,7,C7
70.922,10,4,6,C6
1567.548,240,29,6,C6
263.598,270,43,7,C7
1423.568,290,26,7,C7
715.678,220,28,7,C7
777.237,230,37,8,C8
509.43,220,32,5,C5
964.11,240,34,7,C7
583.627,260,30,7,C7
923.373,170,15,7,C7
344.392,130,23,7,C7
1095.578,270,31,8,C8
100.025,140,21,5,C5
30.425,60,28,1,C1
1080.342,210,18,7,C7
799.899,210,28,7,C7
107.752,240,37,8,C8
893.355,210,26,6,C6
283.161,200,30,8,C8
917.017,140,10,7,C7
234.568,90,21,7,C7
456.897,120,18,9,C9
206.973,100,14,7,C7
1294.099,360,38,7,C7
826.859,180,36,6,C6
564.158,150,32,7,C7
192.607,110,9,5,C5
10.652,90,39,5,C5
45.689,160,24,7,C7
42.568,230,45,7,C7
20.456,40,13,8,C8
635.192,60,17,6,C6
1002.273,230,32,7,C7
1177.047,230,23,6,C6
507.638,120,0,6,C6
215.689,150,35,5,C5
526.48,120,26,6,C6
26.895,60,19,6,C6
883.877,280,26,7,C7
9.104,120,53,8,C8
103.568,230,29,8,C8
169.583,230,28,7,C7
429.504,40,17,6,C6
223.639,140,26,8,C8
145.585,360,42,8,C8
985.968,210,17,6,C6
500.922,260,36,8,C8
226.652,250,45,7,C7
1051.168,200,20,7,C7
68.093,150,15,7,C7
1547.159,250,28,8,C8
393.774,100,27,6,C6
804.282,260,17,8,C8
801.577,210,32,8,C8
450.562,290,46,9,C9
26.598,220,47,8,C8
179.061,70,19,1,C1
345.687,110,22,8,C8
295.84,250,55,9,C9
2271.86,320,31,5,C5
1134.575,300,39,8,C8
601.434,180,21,6,C6
45.298,180,36,6,C6
759.518,200,21,7,C7
832.869,320,44,7,C7
56.894,140,27,7,C7
709.399,100,16,6,C6
56.895,120,33,6,C6
767.134,230,33,8,C8
303.172,150,21,7,C7
700.929,250,35,9,C9
910.851,190,26,7,C7
888.569,240,14,6,C6
800.615,250,34,6,C6
1500,230,11,8,C8
785.694,110,20,9,C9
